Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,159.667007,162.533005,156.766998,161.167007,146.558716,6598665
2016-01-01,159.932999,162.266998,158.733002,161.667007,147.013367,2771978
2016-01-04,160.667007,163.199997,157.100006,158.699997,144.315308,3125132
2016-01-05,160.000000,162.832993,159.367004,161.233002,146.618713,3646312
2016-01-06,161.332993,161.533005,156.432999,158.367004,144.012497,3007210
2016-01-07,154.000000,155.932999,149.367004,151.067001,137.374146,7609386
2016-01-08,152.000000,154.533005,150.432999,153.432999,139.525696,6898318
2016-01-11,150.667007,151.500000,148.100006,150.332993,136.706680,6413396
2016-01-12,149.332993,149.533005,146.667007,147.567001,134.191406,5543673
2016-01-13,148.667007,149.300003,145.033005,148.800003,135.312637,5384576
2016-01-14,147.300003,150.332993,144.399994,148.832993,135.342651,6523576
2016-01-15,149.600006,149.600006,145.199997,146.300003,133.039261,4512582
2016-01-18,144.667007,145.332993,140.832993,142.932999,129.977432,5734035
2016-01-19,143.733002,146.266998,141.000000,145.332993,132.159866,3797908
2016-01-20,142.733002,143.399994,139.466995,142.199997,129.310867,6518908
2016-01-21,142.432999,143.167007,137.300003,138.199997,125.673431,8879594
2016-01-22,141.300003,144.667007,139.867004,144.167007,131.099579,7253738
2016-01-25,146.932999,147.500000,144.367004,146.432999,133.160187,4864044
2016-01-27,146.432999,147.832993,144.667007,145.600006,132.402695,6744064
2016-01-28,145.332993,147.199997,143.500000,146.600006,133.312057,8761006
2016-01-29,147.533005,151.899994,147.332993,150.832993,137.161346,12759740
2016-02-01,151.867004,151.867004,147.699997,150.033005,136.433899,3822741
2016-02-02,148.132996,149.600006,143.600006,144.367004,131.281464,6900480
2016-02-03,142.466995,144.667007,140.199997,142.033005,129.159012,4843966
2016-02-04,145.266998,147.000000,144.167007,146.667007,133.372971,6016540
2016-02-05,146.867004,147.899994,145.033005,146.632996,133.342041,5710670
2016-02-08,146.667007,146.800003,141.100006,142.699997,129.765533,2764110
2016-02-09,140.600006,146.367004,140.332993,145.432999,132.250824,3651746
2016-02-10,142.567001,144.000000,140.533005,142.332993,129.431808,4066760
2016-02-11,142.533005,142.600006,133.367004,135.432999,123.157249,8787048
2016-02-12,133.332993,133.332993,125.167000,128.832993,117.155457,10102654
2016-02-15,132.399994,134.132996,129.766998,133.567001,121.460373,7157805
2016-02-16,135.766998,137.399994,132.067001,133.300003,121.217590,10491014
2016-02-17,133.332993,134.667007,131.466995,133.567001,121.460373,7290020
2016-02-18,135.766998,140.399994,135.332993,139.399994,126.764648,7799662
2016-02-19,137.966995,141.399994,137.332993,140.766998,128.007767,5419070
2016-02-22,141.332993,143.399994,140.466995,142.932999,129.977432,3601842
2016-02-23,143.800003,145.199997,141.233002,143.067001,130.099274,3593367
2016-02-24,141.867004,141.867004,138.800003,139.600006,126.946526,2618156
2016-02-25,141.600006,145.199997,139.733002,144.167007,131.099579,5778484
2016-02-26,144.932999,145.699997,142.733002,144.033005,130.977753,4205824
2016-02-29,144.832993,147.399994,128.332993,129.399994,117.671066,23809857
2016-03-01,129.266998,129.266998,125.699997,127.667000,116.095161,23118147
2016-03-02,129.600006,131.533005,128.067001,129.966995,118.186691,15524956
2016-03-03,131.000000,133.899994,129.167007,131.466995,119.550720,16866746
2016-03-04,133.266998,136.266998,132.667007,133.800003,121.672256,22523046
2016-03-08,133.800003,137.567001,133.800003,134.567001,122.369743,12258796
2016-03-09,134.667007,137.332993,134.199997,136.832993,124.430344,7688816
2016-03-10,139.300003,139.300003,136.233002,137.132996,124.703125,13467873
2016-03-11,138.399994,138.399994,134.800003,136.733002,124.339417,14262116
2016-03-14,138.332993,139.332993,137.167007,138.832993,126.249046,7498647
2016-03-15,137.332993,138.600006,136.699997,138.266998,125.734360,5504456
2016-03-16,138.199997,139.167007,136.600006,137.667007,125.871529,5188654
2016-03-17,139.033005,143.266998,139.000000,141.500000,129.376099,8394324
2016-03-18,142.500000,143.332993,141.667007,143.067001,130.808823,6776230
2016-03-21,142.667007,145.000000,142.000000,144.432999,132.057785,5801745
2016-03-22,144.432999,146.100006,143.332993,144.067001,131.723145,6610557
2016-03-23,144.266998,145.167007,141.266998,143.067001,130.808823,5978228
2016-03-28,143.067001,145.800003,141.600006,142.632996,130.412018,7205974
2016-03-29,143.966995,144.000000,140.466995,141.500000,129.376099,5003186
2016-03-30,142.000000,146.000000,141.533005,145.266998,132.820328,5849823
2016-03-31,143.132996,145.033005,141.432999,142.733002,130.503448,18261630
2016-04-01,143.000000,143.300003,138.733002,139.199997,127.273163,10266195
2016-04-04,138.966995,139.100006,136.367004,138.199997,126.358826,5494028
2016-04-05,137.332993,139.000000,136.033005,137.000000,125.261650,4906772
2016-04-06,137.800003,138.667007,136.000000,137.399994,125.627380,4317508
2016-04-07,139.367004,139.667007,137.800003,138.500000,126.633133,5045078
2016-04-08,138.533005,139.632996,137.100006,137.432999,125.657562,2418254
2016-04-11,139.067001,139.500000,136.800003,138.399994,126.541702,5192644
2016-04-12,138.567001,141.766998,138.100006,140.899994,128.827499,6343280
2016-04-13,143.332993,143.600006,141.867004,142.233002,130.046280,6437622
2016-04-18,142.233002,142.233002,137.399994,138.367004,126.511528,4950201
2016-04-20,138.367004,140.466995,138.367004,139.899994,127.913185,4820409
2016-04-21,141.432999,142.966995,141.167007,141.966995,129.803070,7037139
2016-04-22,143.932999,144.899994,141.766998,144.067001,131.723145,4497202
2016-04-25,144.300003,144.300003,141.132996,141.533005,129.406265,2813826
2016-04-26,141.466995,143.733002,140.632996,142.867004,130.625977,4140094
2016-04-27,144.000000,149.167007,143.932999,147.867004,135.197586,10536442
2016-04-28,148.199997,150.266998,143.500000,144.567001,132.180313,11597841
2016-04-29,145.367004,147.167007,143.733002,144.832993,132.423508,6088467
2016-05-02,145.332993,147.266998,144.000000,145.167007,132.728897,4911861
2016-05-03,146.033005,146.466995,142.000000,143.533005,131.234894,5806392
2016-05-04,143.199997,143.533005,140.000000,140.432999,128.400513,4247746
2016-05-05,141.300003,142.167007,140.000000,140.332993,128.309067,4590195
2016-05-06,140.367004,140.432999,138.067001,138.966995,127.060120,3327824
2016-05-09,139.932999,141.667007,139.399994,141.067001,128.980179,4008650
2016-05-10,141.300003,141.300003,137.533005,138.600006,126.724571,3924152
2016-05-11,137.966995,137.966995,135.399994,136.832993,125.108963,5481087
2016-05-12,138.733002,138.966995,136.500000,137.533005,125.748993,7061337
2016-05-13,137.300003,137.300003,134.667007,135.832993,124.194649,7262070
2016-05-16,136.266998,136.600006,133.332993,135.067001,123.494270,10092506
2016-05-17,137.067001,141.332993,136.733002,140.167007,128.157318,14657428
2016-05-18,140.199997,143.533005,139.733002,142.832993,130.594864,8832225
2016-05-19,142.000000,142.167007,139.466995,140.033005,128.034805,6740378
2016-05-20,141.199997,143.100006,140.300003,142.067001,129.894531,4576983
2016-05-23,142.800003,143.000000,138.332993,138.766998,126.877266,5845634
2016-05-24,139.000000,139.132996,136.367004,137.766998,125.962929,4087502
2016-05-25,139.132996,140.500000,138.766998,140.100006,128.096054,3108448
2016-05-26,140.667007,147.432999,140.466995,144.033005,131.692062,13519851
2016-05-27,145.332993,145.932999,141.199997,142.000000,129.833252,10044087
2016-05-30,142.667007,143.800003,142.000000,142.300003,130.107544,4589130
2016-05-31,143.332993,143.667007,139.867004,140.500000,128.461792,8791202
2016-06-01,140.932999,142.199997,140.067001,140.432999,128.400513,4521807
2016-06-02,140.332993,142.567001,139.432999,141.867004,129.711655,4079510
2016-06-03,142.533005,143.000000,140.733002,141.233002,129.131989,4345935
2016-06-06,141.800003,142.233002,140.199997,140.533005,128.491974,3665349
2016-06-07,141.332993,142.632996,141.167007,141.966995,129.803070,5568472
2016-06-08,143.000000,144.832993,142.667007,143.832993,131.509201,5491938
2016-06-09,144.699997,148.199997,144.667007,147.100006,134.496262,10532686
2016-06-10,146.667007,148.466995,144.667007,145.466995,133.003204,4451984
2016-06-13,144.000000,144.266998,141.667007,142.167007,129.985931,2914852
2016-06-14,142.632996,143.199997,140.800003,141.867004,129.711655,3050001
